index,x1,x2,y
1392,16.7806,14.6163,14
703,13.5468,18.8805,8
2518,22.4754,15.3063,26
810,17.6546,25.6287,9
1519,8.5236,14.3472,16
124,17.8041,11.7022,2
54,24.7915,6.2627,1
1940,3.7488,26.0611,20
2347,25.0422,23.0872,24
88,24.8766,4.4664,1
1870,12.2312,8.1809,19
2043,7.5668,20.5986,21
2351,27.2387,22.3006,24
898,19.1335,26.298,9
3034,5.7935,17.8478,31
1113,26.2014,13.4732,12
3031,5.2484,17.6615,31
1588,9.0388,15.6697,16
418,5.7498,20.6883,5
190,17.1992,12.5969,2
1667,11.1157,13.2869,17
302,23.8945,24.9916,4
1941,5.989,26.2382,20
1003,23.354,7.7577,11
338,24.6282,23.423,4
1711,28.2415,18.3032,18
195,16.3206,12.0679,2
370,25.1135,22.2385,4
1094,22.8089,7.9923,11
157,17.9421,11.8057,2
2236,24.849,27.5837,23
278,9.3102,11.6539,3
2595,23.1355,15.9756,26
2039,7.8152,21.4979,21
659,22.6019,29.4513,7
1668,10.6695,14.2506,17
911,11.0628,21.422,10
1683,11.762,13.9447,17
3024,4.3307,17.2567,31
2614,22.9791,11.5803,27
846,18.3607,26.3762,9
1583,8.6409,15.9135,16
123,16.0676,10.8121,2
1912,5.8924,28.2116,20
3028,5.253,16.8128,31
1521,7.6956,16.2148,16
1320,17.3349,15.1798,14
1447,20.7021,19.7545,15
2211,24.7616,26.4866,23
51,25.1158,6.1914,1
1146,27.0317,14.4323,12
2191,13.0983,25.2354,22
1238,13.9079,9.0181,13
2365,27.1881,21.6888,24
1027,23.5127,8.1073,11
3018,6.7181,17.5971,31
768,13.901,18.1997,8
713,13.1995,16.9186,8
1483,19.2899,20.0949,15
2541,23.4,18.3929,26
747,14.2713,18.0893,8
809,18.0479,26.1669,9
1890,11.3457,8.8111,19
2912,4.0616,9.9979,30
18,25.884,6.3294,1
599,25.8357,10.451,6
148,17.6293,11.3503,2
2689,22.457,11.3158,27
3043,6.7802,16.983,31
1727,27.7332,16.9968,18
1834,11.4699,6.8929,19
505,26.367,10.3268,6
825,17.5948,27.4825,9
1163,26.068,14.4392,12
1762,29.2926,17.4614,18
578,27.9287,10.9938,6
199,18.2457,13.0201,2
2708,10.0669,26.0749,28
3040,4.8758,16.5598,31
2458,23.1194,5.621,25
1041,24.435,8.5811,11
1000,23.1976,9.5678,11
802,19.0139,26.4222,9
647,20.7987,27.1421,7
2167,14.3587,26.0542,22
1052,23.5656,8.7375,11
1083,24.1406,8.5305,11
2265,26.3831,29.2351,23
1315,15.7571,15.258,14
1193,26.9535,15.5133,12
2438,23.5403,6.1569,25
179,17.2889,11.7873,2
2803,14.7934,23.147,29
3070,5.1311,16.6817,31
522,29.5939,9.738,6
2787,9.5333,24.8697,28
1394,16.7875,16.0653,14
560,26.5694,9.2274,6
482,3.6499,20.364,5
293,8.6823,9.0986,3
2992,4.7976,9.6897,30
826,18.0387,25.5459,9
1171,25.2814,14.2299,12
976,10.0784,21.9855,10
2479,20.7504,5.2898,25
1133,26.9029,14.6439,12
1578,9.7564,14.9153,16
1120,25.8886,15.2695,12
2210,25.5597,26.9328,23
839,18.0364,25.7552,9
1868,11.9713,8.1694,19
551,25.746,11.4331,6
3057,4.7562,17.8777,31
2721,10.6787,23.9934,28
330,23.9842,23.3839,4
586,26.1577,10.5292,6
2045,9.0526,22.1511,21
2744,11.7551,23.9796,28
1904,4.4457,27.3008,20
1581,8.8732,15.2258,16
2579,21.8383,16.1688,26
1944,5.138,27.678,20
548,26.9282,11.3917,6
2789,9.1814,24.9732,28
323,25.102,25.3205,4
138,17.5419,11.8885,2
1462,20.9873,19.5958,15
1473,21.123,19.1059,15
1434,20.5089,19.2945,15
1571,10.5108,14.9912,16
30,25.539,6.3777,1
1967,5.897,29.2558,20
1165,26.5441,14.4852,12
2604,23.9543,11.5849,27
120,17.1233,11.6102,2
1772,27.4687,15.6329,18
191,16.9163,11.4929,2
1075,23.1332,8.1395,11
73,25.4838,4.9333,1
2497,22.2569,5.8441,25
1810,12.0794,8.5328,19
1981,6.3317,27.4365,20
1551,8.1809,15.7571,16
2720,10.1796,24.6857,28
1996,5.7383,27.8551,20
2433,22.6617,6.4421,25
2904,5.4117,11.0053,30
59,24.3338,5.1679,1
1600,10.9892,13.0615,17
1884,10.4924,8.8686,19
1435,21.3346,20.3134,15
935,13.2639,21.6405,10
1704,28.621,16.4632,18
2698,23.3218,12.659,27
1705,28.1495,18.156,18
1055,23.9037,7.9808,11
2775,10.681,23.3356,28
705,14.1379,18.9909,8
1009,23.2758,8.703,11
740,14.0344,19.0507,8
2119,14.7819,26.643,22
928,12.4428,21.8636,10
2976,5.4692,10.0094,30
1145,26.7074,15.1568,12
2013,7.4035,20.1777,21
1591,7.3713,15.4029,16
1225,15.6122,11.8816,13
1306,15.9503,13.7331,14
19,24.4649,5.7521,1
2176,13.1742,26.9213,22
1210,14.6439,11.1433,13
941,13.5422,20.5457,10
53,26.3026,6.7802,1
492,5.5681,21.0333,5
1316,15.8629,14.7635,14
514,26.4291,10.3912,6
676,21.2311,27.0984,7
1371,16.0515,14.3081,14
532,27.2916,11.9713,6
980,12.6222,21.6175,10
674,21.1506,28.1633,7
2391,27.103,21.8475,24
2018,8.9307,22.3121,21
2834,15.7594,21.7693,29
2822,15.2534,20.9712,29
689,21.1667,26.5165,7
1337,16.983,15.7272,14
2767,9.1814,25.3895,28
2356,27.1697,22.112,24
2501,23.3931,16.4655,26
2012,8.8663,20.6929,21
1797,27.1881,17.6339,18
2984,4.632,11.6723,30
1282,15.9871,9.8139,13
2246,23.2252,29.2466,23
581,27.4296,9.7426,6
1328,15.4397,14.7842,14
2296,24.412,27.4043,23
320,24.6535,23.0642,4
1587,9.8185,14.6715,16
1565,9.5333,15.4627,16
1544,9.1584,15.3247,16
2836,14.3173,23.2896,29
1744,28.0069,17.9053,18
1886,12.1967,9.3677,19
1630,11.7459,14.154,17
1252,14.66,9.6989,13
164,17.696,11.9414,2
210,7.8106,11.3227,3
1037,24.1498,8.7904,11
394,24.9709,23.9796,4
1641,11.3641,15.1913,17
978,11.3066,21.399,10
856,16.5023,25.2423,9
1953,5.6808,27.9379,20
2342,26.229,22.0982,24
1932,5.5267,27.0777,20
1669,11.5527,13.8734,17
454,4.5906,19.3014,5
2465,20.341,5.5658,25
2854,15.8882,22.595,29
1514,8.8134,14.2644,16
517,26.9857,10.5453,6
2082,9.4413,23.055,21
2165,14.2115,25.9898,22
1956,4.6458,27.6711,20
2163,14.1678,26.0542,22
1322,16.3114,14.9521,14
1012,23.6898,7.2655,11
2483,21.859,4.8827,25
2170,14.6232,26.2865,22
1236,16.3528,9.8783,13
1930,5.3013,27.6251,20
855,17.7512,26.7902,9
1849,10.2693,8.289,19
2815,15.8353,21.6865,29
1658,12.5693,14.338,17
1869,9.8829,8.772,19
1717,27.3146,18.0824,18
2949,5.2369,9.0848,30
946,12.291,21.1368,10
478,4.8758,20.4468,5
1622,10.9225,15.0993,17
1610,11.785,14.7888,17
2456,22.7606,5.9407,25
292,8.4592,10.3337,3
1260,14.384,9.9542,13
92,25.6954,5.9867,1
2444,22.4547,6.2811,25
2124,15.4466,26.4107,22
1195,25.8242,14.6485,12
381,25.5045,24.5247,4
1831,11.3825,8.4086,19
2697,22.411,12.2703,27
2915,4.8735,9.8599,30
1451,19.5682,19.881,15
1533,7.8267,15.35,16
71,25.8587,5.2208,1
1358,16.799,15.6168,14
1651,12.0909,15.1476,17
1911,5.6762,27.3238,20
2906,6.2282,10.1543,30
830,17.9697,26.8017,9
1304,16.27,14.8532,14
553,27.7447,10.9708,6
2048,9.9197,20.4928,21
343,25.9415,23.883,4
2452,22.1695,5.7728,25
1493,20.0811,19.2301,15
2484,22.6456,6.702,25
276,9.2527,10.8558,3
1871,11.8333,7.1689,19
1013,22.9722,10.1681,11
3052,6.3018,15.7893,31
525,26.0312,10.06,6
2398,25.2883,22.1902,24
1080,22.5421,9.6506,11
2540,23.2321,17.7926,26
142,18.3653,12.0633,2
1854,11.1571,9.8783,19
2217,25.7506,27.0731,23
2134,12.9051,25.7805,22
2649,23.2459,11.8011,27
1526,8.8686,14.982,16
95,26.1347,5.0161,1
2794,8.8203,25.0905,28
2130,13.0477,26.8408,22
1732,28.2139,18.133,18
1905,4.5998,26.3762,20
2088,8.45,20.9804,21
1840,9.9634,7.8497,19
214,7.6611,10.7592,3
1135,26.5648,15.603,12
2385,27.4181,21.5715,24
1639,12.1553,14.4047,17
1902,5.5566,27.0041,20
2843,14.982,21.0034,29
2700,10.4027,23.6553,28
1045,23.2091,8.8939,11
519,26.8753,11.2882,6
167,17.1877,11.9828,2
1103,24.826,15.2971,12
2908,5.4991,9.5954,30
1650,11.5688,15.649,17
1975,5.2599,27.9471,20
2410,21.3392,5.7406,25
1573,8.933,13.9286,16
2919,5.4255,11.8103,30
1614,11.6562,14.9843,17
1118,25.4746,13.809,12
2952,5.644,10.6327,30
327,25.2009,24.711,4
1607,11.4055,15.5892,17
134,17.5557,11.2123,2
531,25.5321,10.566,6
1698,10.5476,14.0666,17
2506,22.4432,14.5703,26
1176,26.6384,13.4042,12
668,21.5301,27.517,7
1391,15.0924,15.9894,14
1340,15.7732,15.3293,14
207,7.5645,8.8824,3
1058,24.6696,8.2039,11
2242,24.2993,28.5497,23
1963,4.4135,27.2778,20
2760,11.4009,23.9819,28
1361,15.2971,14.6715,14
2084,8.4086,20.6354,21
1076,24.0831,8.4914,11
1301,17.8731,15.143,14
1015,23.8209,8.1464,11
621,21.7808,27.8735,7
1200,16.2631,10.0255,13
1525,9.3884,15.2672,16
1880,10.9938,8.7145,19
1231,16.9669,8.519,13
1560,8.9008,16.017,16
1278,16.5621,9.5034,13
32,26.5924,6.0925,1
2263,25.1687,29.1247,23
2808,16.0653,22.5444,29
2940,5.897,10.2325,30
396,24.3545,24.4028,4
1700,26.9995,17.3234,18
2031,9.6368,21.6888,21
402,3.9719,19.8787,5
900,11.9759,20.5894,10
2513,23.0366,15.4144,26
2508,23.8324,17.3993,26
1927,6.3869,27.2364,20
2938,5.1058,11.5274,30
2201,25.3136,28.0115,23
468,3.896,20.065,5
1907,4.8344,27.0524,20
312,24.0486,25.4286,4
2953,4.54,9.278,30
2902,5.5474,10.2233,30
2632,24.0233,13.2179,27
1800,11.7735,8.1878,19
2177,13.4686,26.9489,22
322,23.4437,24.0555,4
1417,19.7476,19.1013,15
609,23.0182,27.5423,7
3016,5.7889,16.8933,31
1957,4.7999,28.368,20
1295,14.4185,9.3102,13
2370,27.4135,22.3443,24
1510,9.5471,15.0165,16
3002,5.368,17.5005,31
2290,25.2607,27.3514,23
358,24.3154,24.2188,4
85,26.275,5.5888,1
1843,10.6741,8.4684,19
79,25.5137,6.357,1
2533,23.1654,15.2948,26
2046,9.3125,20.8309,21
2979,5.2484,9.4206,30
2634,22.9032,11.5274,27
1303,16.6334,13.4295,14
2408,21.5025,5.4853,25
1977,6.3156,26.7856,20
1851,10.2233,7.576,19
465,5.3105,18.5033,5
1247,17.1348,10.2601,13
1082,24.8421,9.3861,11
1497,20.939,20.893,15
848,18.0502,25.0261,9
2608,22.5191,11.2744,27
753,14.1425,19.4003,8
1569,8.2959,15.6973,16
93,26.344,5.9522,1
2773,10.2026,24.1153,28
858,16.9853,25.3918,9
109,18.3607,11.8287,2
1274,15.1844,9.7311,13
971,12.6337,21.8176,10
405,4.9172,20.7688,5
2309,27.0432,21.9487,24
682,21.974,27.2042,7
192,17.3096,11.1893,2
2214,24.3637,26.8707,23
1006,24.4626,9.0089,11
1746,26.7488,16.0814,18
876,18.6091,25.4884,9
2089,7.8359,22.7031,21
3087,5.4669,17.7489,31
1207,16.2838,8.841,13
1010,22.641,8.4362,11
1404,21.6014,20.4905,15
1580,8.6455,16.5483,16
2690,22.5099,12.1093,27
332,24.6397,24.251,4
52,25.6103,7.6197,1
2925,5.2875,10.1497,30
2436,22.3466,6.1316,25
2314,26.8891,21.9648,24
299,7.7945,10.8995,3
1150,26.9259,15.5639,12
2795,10.6258,24.2096,28
2682,22.1557,11.4308,27
2558,23.1332,16.3298,26
1213,14.2368,8.9537,13
2816,16.5874,23.3931,29
1264,15.6881,7.9187,13
1997,5.9016,27.8045,20
28,27.126,6.1109,1
1373,16.2309,14.7497,14
1662,11.1778,14.1839,17
2713,10.0255,23.9773,28
2735,10.2762,24.4235,28
699,20.5296,27.6228,7
2865,15.6421,21.5025,29
1143,26.1807,15.2396,12
1488,19.5567,19.0599,15
1492,21.2633,19.6096,15
389,24.297,23.975,4
770,13.9792,17.4729,8
1464,18.9219,18.2756,15
1568,8.5627,15.3339,16
527,26.6154,11.6355,6
1766,27.1513,17.236,18
1292,16.0216,9.6667,13
438,5.184,20.5963,5
1621,11.9575,14.5289,17
1234,15.5409,9.347,13
1983,6.3179,27.7286,20
2848,14.6623,21.3277,29
2703,10.7523,25.4355,28
2567,22.3558,16.224,26
1670,12.4819,13.6871,17
1508,7.8704,16.086,16
395,24.4925,23.7795,4
708,13.8596,18.2733,8
801,17.9191,25.4401,9
2657,23.1792,11.1111,27
1188,26.6522,14.2115,12
2777,11.0122,25.0905,28
445,5.1334,20.7734,5
2166,14.1586,25.5413,22
1516,8.6639,15.8514,16
2096,9.4965,21.7003,21
2455,22.6364,6.8653,25
1876,11.5481,8.8617,19
1363,15.2948,14.7658,14
2230,25.9599,28.5796,23
180,18.3883,10.0025,2
730,14.3587,18.225,8
2823,15.9871,21.9648,29
176,17.7328,11.21,2
2173,13.8412,26.2428,22
1233,14.6761,7.898,13
1796,25.8311,18.0295,18
2825,15.5662,22.6916,29
2141,14.1839,26.3417,22
1899,10.451,6.84,19
2372,27.0225,22.4984,24
2107,14.3587,26.7994,22
2346,27.1375,22.4524,24
653,20.3617,27.8666,7
2568,22.9584,15.0786,26
3071,7.4311,18.3331,31
2817,14.7865,22.2086,29
1072,23.722,7.9049,11
2711,11.1755,25.9967,28
1415,21.3369,19.7177,15
2873,15.8905,21.1069,29
2903,3.9811,10.7615,30
2955,4.701,9.1423,30
196,18.4343,12.4474,2
570,28.1518,10.5453,6
1523,7.8267,15.81,16
1722,27.0961,17.3671,18
871,18.2365,26.413,9
2645,23.9451,10.2923,27
1305,16.9692,14.7612,14
1297,16.3459,8.5696,13
2849,15.0809,22.6709,29
908,10.7753,21.7808,10
1426,21.2541,22.0591,15
544,27.2663,11.4952,6
2621,22.7974,10.7477,27
2996,5.2323,10.198,30
3044,4.862,17.1118,31
1004,24.0279,9.853,11
1517,7.5116,15.1522,16
1553,9.2757,14.9061,16
1712,25.9944,16.6863,18
2704,8.7766,25.2837,28
2846,14.9429,21.4496,29
2301,26.0749,22.4961,24
1592,9.5563,14.9061,16
1093,23.5725,9.2803,11
2334,26.1876,22.9998,24
1186,26.6453,15.3546,12
1228,15.9595,9.3562,13
1806,10.6051,6.9044,19
324,24.8536,24.9525,4
2006,8.8617,21.4059,21
2531,23.0596,16.2585,26
1921,4.9402,27.2088,20
1625,10.589,14.1379,17
1184,25.5597,13.9125,12
58,27.1306,6.9573,1
3041,5.0828,17.7834,31
1440,20.2973,19.053,15
1111,25.7943,13.947,12
265,8.9951,9.5678,3
2060,8.2315,20.9505,21
675,21.468,27.3652,7
2781,10.5706,23.8761,28
2824,15.1292,23.0343,29
2546,22.6594,16.1504,26
232,8.9813,9.7127,3
2238,24.7984,27.4687,23
608,21.5117,27.9517,7
1780,27.2111,18.6896,18
1355,17.466,15.1936,14
987,11.6033,19.4785,10
2839,14.8003,22.2086,29
249,9.4344,12.3485,3
1115,26.4061,14.5312,12
711,14.0482,17.926,8
710,15.6007,18.9518,8
1677,11.6907,14.4438,17
2274,25.884,27.9586,23
1942,6.1845,27.9356,20
601,21.1115,27.2065,7
778,13.4272,17.9743,8
145,16.9853,12.3186,2
1549,8.6133,14.0459,16
624,21.7831,26.7511,7
859,17.2567,25.24,9
2040,8.6409,22.4202,21
1244,16.4172,9.14,13
114,17.9858,11.5067,2
47,24.6328,5.3473,1
2400,22.6801,4.5492,25
1170,27.1812,16.3298,12
1875,11.0329,7.3391,19
328,24.1222,24.6926,4
2820,14.5174,22.7054,29
403,5.3174,18.8092,5
2977,6.1109,10.6695,30
2114,14.4737,26.965,22
2478,23.6668,7.5024,25
2325,27.1421,21.7877,24
764,15.3546,19.1772,8
969,12.9925,21.3714,10
739,12.8499,19.0645,8
2840,14.9958,21.8866,29
177,17.466,10.4234,2
219,9.0756,9.3723,3
2083,9.3608,20.9551,21
1839,10.8075,7.3046,19
1400,20.5227,19.4578,15
2542,23.0895,16.3666,26
1059,23.3057,8.0613,11
866,18.6275,25.3826,9
2990,5.7935,10.6005,30
1140,26.0749,14.5151,12
2573,23.0481,16.5184,26
2406,23.1792,5.0713,25
606,21.0655,27.7194,7
2957,5.9821,9.4137,30
2411,22.3282,5.3519,25
56,25.4838,7.0148,1
181,17.6523,11.509,2
1645,12.6107,14.959,17
536,27.0386,10.037,6
1924,6.6813,27.5607,20
1511,8.1671,15.3362,16
3091,6.5456,16.6978,31
15,23.3609,5.6601,1
743,12.6498,18.5792,8
2654,23.2252,11.9989,27
2349,27.793,22.5352,24
421,4.1973,20.4997,5
1629,10.4924,14.5266,17
94,26.8224,5.667,1
1530,7.944,13.0891,16
63,24.3039,4.8827,1
437,4.931,20.0305,5
321,24.0555,24.3729,4
2582,21.5416,16.1021,26
794,13.6273,18.4987,8
952,12.8223,21.0218,10
1109,25.6931,15.4443,12
2991,5.0092,11.5159,30
2336,26.1002,19.7499,24
2761,10.0002,24.0486,28
2179,14.8854,26.9443,22
1889,12.0403,7.8911,19
2330,26.6752,22.0959,24
1675,12.0725,13.3904,17
2495,21.767,6.2696,25
1424,20.8654,20.4491,15
1649,11.8287,15.5363,17
1338,16.4425,12.935,14
745,14.4484,17.7811,8
296,8.8019,11.3342,3
2661,23.0044,11.4331,27
1333,16.1734,15.2212,14
3097,5.276,17.2475,31
2466,21.8774,5.2231,25
1259,14.9314,7.9095,13
2539,20.64,17.1739,26
1862,10.2141,7.4058,19
754,14.0689,19.4233,8
2069,8.6938,21.0011,21
1036,24.2119,8.6156,11
579,25.6701,10.9225,6
401,5.7912,19.7499,5
2175,14.0873,28.6118,22
1966,4.7309,26.7304,20
3093,5.1219,18.4274,31
1007,23.7933,8.2821,11
1240,16.8496,9.5954,13
2755,10.8903,24.734,28
2250,25.2032,28.3381,23
231,9.1584,10.8535,3
1192,26.2957,15.5087,12
2364,27.1076,22.365,24
933,11.5987,20.8263,10
2288,24.6052,27.655,23
1073,21.997,10.0048,11
307,23.7197,23.4483,4
2647,22.4984,11.9575,27
2799,10.3567,24.3154,28
2204,25.4148,27.2663,23
835,17.3303,26.1738,9
2112,13.3881,26.0013,22
556,26.7718,10.267,6
3047,6.3455,16.8772,31
2641,22.4915,11.7137,27
832,16.4287,25.2883,9
1253,16.4954,9.3907,13
1173,26.0634,14.7336,12
2716,9.0825,22.135,28
2523,21.9648,15.6605,26
353,26.4843,23.7105,4
1239,13.9125,10.6741,13
790,15.373,19.4371,8
27,24.6236,6.1178,1
2218,26.1048,26.1876,23
817,17.6868,25.5206,9
1442,21.2449,20.0374,15
2253,25.3389,27.8574,23
3060,5.9936,17.7029,31
2430,21.2081,4.8758,25
632,20.5273,28.253,7
25,25.4286,6.2834,1
1230,13.8918,9.2987,13
989,11.6769,21.4151,10
657,21.6405,28.5359,7
501,27.3445,11.2123,6
1347,16.2171,15.0303,14
2965,3.9742,10.1819,30
2844,15.1269,21.6566,29
2392,26.5487,21.4795,24
1021,22.5743,8.5374,11
1661,10.7776,13.8711,17
3022,7.0309,16.73,31
1774,26.1554,17.5764,18
1077,23.2114,8.4109,11
957,12.222,21.5393,10
526,27.9471,11.1686,6
1294,14.9452,8.7697,13
2019,8.9215,21.2863,21
2681,22.4639,11.3641,27
2951,4.7378,10.6833,30
594,26.7557,8.8387,6
516,27.2479,10.1842,6
1378,15.4949,15.3385,14
1162,26.3095,14.5404,12
1846,12.8131,8.0498,19
1062,23.3632,10.0255,11
2161,13.2593,27.5952,22
1423,20.5572,19.3589,15
116,17.1026,13.1719,2
929,11.1341,21.0655,10
1262,15.5984,9.8553,13
2625,23.0228,11.9667,27
102,17.9628,10.4625,2
3074,6.2121,17.9582,31
211,8.9514,11.0628,3
2200,24.435,27.8137,23
1249,15.1729,9.4965,13
2684,22.7123,12.0771,27
3038,6.1891,18.1169,31
218,8.1441,10.8443,3
2062,8.3925,21.2242,21
1848,12.4152,9.8875,19
2701,10.0117,24.0394,28
1313,15.4466,14.9981,14
409,6.173,19.3359,5
334,25.6678,23.6599,4
1321,15.5156,14.8808,14
2129,13.0753,28.7199,22
2328,25.5252,21.5439,24
1574,8.9445,14.683,16
1657,10.4395,14.5565,17
1474,19.3957,21.2173,15
2429,22.158,6.104,25
357,24.3407,23.5886,4
880,18.8621,25.2055,9
2212,25.7759,28.6923,23
542,27.0708,10.8144,6
2592,24.4787,17.9421,26
2931,5.5773,9.5034,30
2920,4.7194,9.5149,30
1366,16.2378,13.8435,14
2070,6.5617,21.4841,21
1020,23.9244,9.163,11
1934,5.3519,27.8413,20
2752,10.7155,23.0527,28
2057,9.0825,22.5605,21
3007,5.0253,18.156,31
2526,21.9142,15.9963,26
811,18.0939,26.0542,9
1268,15.6789,8.818,13
36,25.2814,7.5461,1
2745,10.1313,25.0284,28
2467,21.8682,4.8482,25
1505,9.3378,15.5018,16
1485,20.5135,19.3405,15
481,6.1753,20.4284,5
96,25.263,5.3082,1
4,25.7529,5.1564,1
2184,15.1476,26.3417,22
1550,7.8428,14.4507,16
841,18.225,24.5891,9
1100,27.6389,14.4967,12
910,11.2169,22.2454,10
2017,7.5116,22.5421,21
333,23.8393,24.3154,4
665,21.8636,27.7746,7
1853,11.7275,7.484,19
660,22.3075,26.2497,7
1357,15.8721,12.8867,14
356,25.9668,25.079,4
1227,15.5892,10.2141,13
698,21.4519,26.85,7
2739,11.3664,23.8531,28
1781,27.2686,17.834,18
2225,25.2952,27.057,23
1491,21.0402,19.1887,15
2640,22.365,11.8701,27
1419,20.6377,19.3934,15
2289,24.8191,25.0031,23
718,13.027,18.3561,8
934,12.0679,20.8286,10
1949,5.0345,27.6366,20
2921,4.9126,10.589,30
1064,23.5472,8.9767,11
2415,22.5651,6.0718,25
2353,26.7212,21.008,24
455,5.4531,20.7067,5
2611,22.4938,11.4699,27
2235,24.1291,27.4181,23
735,15.603,16.9301,8
1098,23.2597,8.3741,11
2653,21.6336,12.2312,27
2754,11.0099,24.4534,28
823,18.8759,25.3987,9
2190,14.5542,26.1278,22
950,12.1714,20.7826,10
808,18.7793,25.0997,9
748,13.786,18.5217,8
1888,11.3963,7.5185,19
785,13.464,18.4964,8
515,25.7598,9.3907,6
610,21.5922,26.873,7
1047,21.8866,8.9652,11
2150,14.4737,26.8224,22
962,13.487,22.089,10
1220,16.2723,9.1032,13
1398,16.3804,15.0372,14
2894,14.5887,23.3172,29
423,6.1661,21.6704,5
2655,22.3719,11.7413,27
958,11.6539,22.1971,10
1939,5.5152,27.747,20
2469,21.9257,5.4048,25
1197,25.608,15.7548,12
1028,23.7496,8.8893,11
2868,14.9314,22.181,29
239,8.3189,9.0365,3
173,16.3045,10.8765,2
1555,9.6115,15.6651,16
903,12.6613,21.0356,10
1352,16.224,14.5174,14
2768,9.8599,24.1199,28
282,9.2435,10.6212,3
1792,26.8201,19.0576,18
1141,27.6228,15.2741,12
1450,19.8258,20.0972,15
807,17.7305,25.3803,9
1343,15.3086,14.89,14
1518,9.4781,14.5979,16
2407,21.813,7.0953,25
879,18.3515,26.6476,9
2446,21.7739,4.0938,25
1660,12.9074,15.7755,17
1572,8.519,14.9751,16
2054,9.9749,20.5388,21
1354,16.086,14.8785,14
2674,23.2712,12.3209,27
3046,5.5888,16.3114,31
1183,24.9571,15.0303,12
1112,25.1871,14.5128,12
10,26.4774,7.7416,1
1720,26.8776,18.6896,18
1489,20.6998,20.7688,15
1702,27.8781,16.7806,18
623,21.5485,26.9213,7
147,18.0272,11.9621,2
55,25.0997,5.8004,1
849,17.8179,25.4447,9
435,5.7061,19.214,5
2842,14.6002,21.8406,29
369,26.1508,24.5753,4
1031,22.5007,8.2476,11
2620,21.3783,11.8586,27
663,20.4077,27.678,7
1917,6.3616,27.5584,20
2343,26.5349,21.9763,24
2442,22.2431,5.3795,25
3081,5.7498,16.5069,31
2125,14.7359,27.4825,22
837,18.0042,25.8012,9
1855,11.9943,8.7858,19
2809,16.5874,22.4708,29
1460,20.042,20.1915,15
677,20.9988,27.1329,7
1673,11.4745,13.1673,17
1455,18.8276,19.4279,15
428,5.3013,19.4233,5
21,25.3274,5.6463,1
1692,13.4203,13.5146,17
2670,22.1672,10.8006,27
1167,26.9604,14.8486,12
23,25.0238,6.2742,1
393,24.7593,24.366,4
1617,10.9478,15.9388,17
2109,14.1655,27.2617,22
2384,25.4723,22.5513,24
1463,19.9523,18.8046,15
