x1,x2,y
4.7447,27.1214,20
17.1026,13.1719,2
4.5354,9.4436,30
19.9339,27.9149,7
7.9509,20.6975,21
12.9649,15.1913,17
25.5275,4.9333,1
21.1506,28.1633,7
27.1352,18.9265,18
23.3655,15.718,26
19.2899,20.0949,15
7.4311,18.3331,31
12.1323,20.9252,10
8.2315,20.6768,21
14.5174,22.7054,29
4.9724,20.0167,5
15.7042,22.1419,29
11.2859,8.082,19
18.2273,26.4452,9
4.7286,19.2761,5
11.6769,21.4151,10
11.6631,22.4685,10
8.6041,21.3622,21
22.6755,4.6021,25
11.5481,8.8617,19
8.1441,10.8443,3
14.9521,20.41,8
9.4597,21.0471,21
15.3132,21.5485,29
21.8843,16.0285,26
15.6099,8.8709,13
26.1853,23.7795,4
8.7904,14.4208,16
27.6757,9.5816,6
15.1637,19.3704,8
18.1491,25.7253,9
5.9775,17.8248,31
17.1877,11.9828,2
27.3445,9.3769,6
9.7472,24.2947,28
4.3629,28.2208,20
22.5835,26.4222,7
21.8383,16.1688,26
9.6506,15.5685,16
16.0607,9.1584,13
5.4508,15.3776,31
5.2875,10.1497,30
8.7237,15.189,16
17.2866,12.2933,2
27.0248,17.4913,18
26.5119,27.8436,23
6.2121,17.9582,31
27.0524,17.6385,18
5.1311,16.6817,31
11.0766,23.8715,28
26.4567,29.012,23
27.0317,14.4323,12
21.2449,20.0374,15
8.4914,10.2233,3
3.9328,26.7189,20
21.8866,8.9652,11
5.5681,21.0333,5
17.4637,10.8213,2
26.1071,13.4548,12
12.0587,7.7347,19
5.3473,20.3893,5
11.2169,22.2454,10
14.4737,26.8224,22
15.6467,21.1575,29
24.7593,24.366,4
23.2988,16.385,26
5.276,17.2475,31
26.7925,14.2345,12
22.0936,6.1063,25
15.2649,8.2131,13
18.3653,12.0633,2
16.6886,14.7198,14
21.3415,13.1121,27
26.4061,14.5312,12
21.9027,4.701,25
6.1753,20.4284,5
27.1099,27.0593,23
22.7146,12.0081,27
17.3924,14.6232,14
10.8443,7.7301,19
26.9259,15.5639,12
9.3378,15.5018,16
15.0372,9.554,13
14.2368,26.9742,22
22.4133,8.4132,11
24.0394,24.6765,4
19.6211,19.1266,15
24.1498,24.6788,4
7.7462,15.2833,16
16.6564,9.9243,13
8.6363,9.8139,3
22.963,14.8923,26
17.6822,24.6949,9
8.864,21.5117,21
27.1513,17.236,18
13.0983,25.2354,22
25.5482,5.7107,1
26.0634,14.7336,12
26.321,10.5407,6
21.5853,16.3551,26
17.1141,9.7311,13
24.4649,14.5496,12
26.2014,13.4732,12
23.0205,5.2093,25
26.6062,18.2963,18
24.6236,5.6877,1
9.4114,24.4695,28
7.6611,20.5043,21
11.0214,21.6589,10
8.7766,14.7336,16
26.4498,6.6997,1
8.6225,22.2132,21
14.5611,26.9167,22
21.3829,8.8571,11
13.6963,18.7977,8
17.4844,25.5735,9
19.3934,12.5601,2
24.0509,9.324,11
15.8882,22.595,29
4.3192,16.661,31
13.5468,18.8805,8
23.4529,9.1998,11
26.5487,21.4795,24
12.5486,13.9585,17
19.7246,19.8971,15
5.3864,20.8355,5
23.8692,23.8531,4
12.337,8.2614,19
7.806,11.4975,3
6.8906,16.0952,31
16.661,25.447,9
11.5297,14.0528,17
20.1478,18.3768,15
8.3189,9.0365,3
4.8735,9.8599,30
26.7051,20.7803,24
15.7479,9.3424,13
6.2144,11.6723,30
9.4781,20.6239,21
24.228,27.1076,23
11.9161,8.2246,19
4.3974,10.3866,30
22.2707,5.5773,25
15.3293,8.6685,13
6.2006,20.1892,5
22.3259,7.8635,11
12.7027,19.559,10
14.9452,8.7697,13
15.3247,22.3926,29
14.9314,7.9095,13
6.0672,19.8695,5
10.6787,23.9934,28
13.8297,18.9058,8
11.7413,22.1488,10
6.1845,27.9356,20
11.3963,7.5185,19
23.5403,6.1569,25
12.291,21.1368,10
10.9478,15.9388,17
4.6182,17.7535,31
16.1251,10.6649,2
21.1506,20.1294,15
23.3149,17.0014,26
10.2762,24.4235,28
21.0241,27.0294,7
16.4287,8.9169,13
27.1697,22.112,24
28.0,10.8903,6
26.8661,10.6672,6
27.1398,16.4471,18
26.3118,14.5427,12
20.8608,18.4711,15
22.2431,5.3795,25
9.9749,20.5388,21
14.0804,27.5331,22
28.6003,17.8593,18
5.0345,27.6366,20
21.2541,22.0591,15
17.6293,11.3503,2
25.5597,13.9125,12
20.8838,27.448,7
23.1654,15.2948,26
26.3693,22.6318,24
6.0465,17.5051,31
23.1677,12.3209,27
21.6865,12.0403,27
11.6171,15.718,17
13.027,18.3561,8
16.8496,9.5954,13
12.222,21.5393,10
12.2312,8.1809,19
10.4924,14.5266,17
3.8017,10.704,30
22.4432,4.0892,25
26.6384,13.4042,12
23.5242,15.2971,26
23.1332,8.1395,11
7.0815,10.4993,3
26.7074,15.1568,12
26.0956,10.3751,6
17.4384,12.2128,2
7.162,18.1836,31
12.8177,14.7014,17
5.4876,10.7247,30
22.7652,12.7142,27
23.1539,11.417,27
7.6979,10.1405,3
26.6614,15.7088,12
12.5693,14.338,17
11.2537,20.6446,10
6.0695,9.669,3
5.7935,17.8478,31
24.2257,16.0354,26
9.8162,23.8945,28
14.8716,17.9076,8
12.0955,12.8568,17
16.2838,8.841,13
11.762,13.9447,17
10.8213,20.6561,10
25.4953,24.9893,4
27.3445,11.2123,6
8.5098,22.0315,21
15.603,16.9301,8
25.6678,23.6599,4
12.0725,13.3904,17
14.5588,14.4001,14
5.9775,21.4726,5
27.7976,18.2917,18
16.8749,11.5182,2
15.4719,26.8868,22
5.2737,10.98,30
19.9178,19.4279,15
23.2045,7.9647,11
16.1918,21.468,29
11.785,14.7888,17
10.7408,14.5588,17
26.0381,14.3242,12
18.2365,26.413,9
10.2716,20.3709,21
17.3694,25.1043,9
11.6539,22.1971,10
9.4045,16.2194,16
7.5277,10.6994,3
15.3799,21.3116,29
17.627,26.6982,9
4.7424,20.41,5
22.641,8.4362,11
14.7819,26.643,22
10.4326,24.5178,28
25.8242,6.7848,1
17.9076,24.964,9
11.3664,13.7814,17
14.4737,26.965,22
22.411,12.2703,27
20.6837,20.3916,15
25.4815,27.2479,23
10.474,8.588,19
24.7248,24.1107,4
25.6103,13.9378,12
16.224,8.9514,13
16.3528,9.8783,13
21.8774,27.241,7
15.9595,9.3562,13
17.3096,11.1893,2
24.8513,23.4322,4
23.0228,11.9667,27
20.5296,27.6228,7
21.8153,5.2323,25
15.5984,9.8553,13
5.4531,17.4154,31
27.1352,18.3906,18
24.2119,8.6156,11
23.0918,15.3592,26
11.0973,13.1328,17
23.0343,8.6892,11
21.6175,27.5538,7
28.2415,18.3032,18
10.175,25.1779,28
5.2369,9.0848,30
25.8955,5.4393,1
26.0887,15.8997,12
15.5041,10.1865,13
16.5713,15.2764,14
24.8329,16.0377,12
6.1316,9.3102,30
5.4761,16.9186,31
25.2032,28.3381,23
13.8458,19.3543,8
14.6968,21.8751,29
13.0592,28.0368,22
4.0271,27.2755,20
6.4214,20.571,5
27.0386,10.037,6
4.8068,8.1395,30
18.0272,11.9621,2
16.3597,17.1233,14
8.2913,9.4229,3
8.1717,9.0687,3
26.2543,10.3314,6
28.1495,18.156,18
25.5321,10.566,6
10.7546,8.1694,19
22.3466,6.1316,25
25.2607,27.3514,23
5.4416,18.4987,31
7.645,14.9452,16
8.4316,15.2994,16
26.4383,15.0418,12
21.7624,26.5832,7
26.9604,14.8486,12
25.0215,6.564,1
18.9403,11.6999,2
20.8608,19.1979,15
4.7677,20.5503,5
15.8353,21.6865,29
27.2663,11.4952,6
26.9282,11.3917,6
8.5949,15.2028,16
13.2501,26.5096,22
25.9622,27.0064,23
11.4745,13.1673,17
26.6775,21.4588,24
20.3502,20.0949,15
5.7498,17.0014,31
21.997,10.8144,27
5.8878,16.3781,31
13.9447,17.88,8
15.0924,15.9894,14
11.1985,8.3442,19
26.5694,9.2274,6
21.2311,27.0984,7
24.8191,24.9778,4
11.21,14.2874,17
27.3606,24.0371,24
27.0823,10.0876,6
26.9282,18.1146,18
21.813,7.0953,25
24.5316,23.8071,4
6.0304,20.1501,5
24.2487,27.5078,23
11.1778,14.1839,17
16.6863,13.8642,14
22.3282,7.99,11
27.5768,21.5899,24
7.8359,22.7031,21
25.2722,24.7708,4
5.4899,10.7086,30
26.942,22.342,24
5.0092,11.5159,30
19.5222,27.5147,7
27.2548,20.8562,24
4.6159,10.1152,30
25.2492,5.6486,1
16.3896,8.588,13
19.6694,19.9776,15
15.5386,9.8139,13
10.589,23.8531,28
6.1086,17.3855,31
26.6292,22.1626,24
21.2081,4.8758,25
14.0666,26.9903,22
17.5948,27.4825,9
10.9892,13.0615,17
17.4568,14.2759,14
26.1255,13.8918,12
26.4245,10.2923,6
22.2155,12.1599,27
5.6762,27.3238,20
10.4579,9.0204,19
5.368,17.5005,31
22.8871,16.8542,26
24.3407,23.5886,4
15.7042,22.8664,29
16.7116,26.2106,9
11.0927,21.9234,10
11.3641,15.1913,17
13.4111,21.8889,10
5.2714,9.2826,30
20.8723,28.3082,7
26.459,22.4087,24
25.884,6.3294,1
25.4562,6.702,1
27.4963,17.4062,18
16.3206,12.0679,2
17.5235,25.5919,9
24.9571,15.0303,12
12.8292,22.986,10
9.301,16.2976,16
24.2441,27.6481,23
24.4166,28.5175,23
15.5156,14.8808,14
4.3284,26.9972,20
16.5644,21.0103,29
4.8574,9.7219,30
11.3664,20.9275,10
7.7094,14.637,16
15.81,21.2794,29
16.6679,14.5841,14
26.5855,10.1451,6
21.1322,20.8033,15
13.8596,18.2733,8
23.3218,22.9584,4
6.0442,17.0934,31
22.3282,5.3519,25
6.5456,16.6978,31
14.2713,18.0893,8
13.464,27.5055,22
18.4343,12.4474,2
14.3173,27.5768,22
9.6713,20.6906,21
27.0478,10.4809,6
15.6007,18.9518,8
11.1157,13.2869,17
27.1421,21.7877,24
15.442,8.0222,13
11.555,25.0399,28
17.8294,25.746,9
13.8136,25.9277,22
21.6037,28.2461,7
11.4009,23.9819,28
27.2157,23.9359,24
24.0831,8.4914,11
5.9269,26.9374,20
12.1806,22.2063,10
6.4444,16.2033,31
24.8973,7.1919,1
26.2175,21.5738,24
25.1871,14.5128,12
8.3672,14.8762,16
26.1554,17.5764,18
5.7061,19.214,5
10.681,23.3356,28
16.638,12.9649,2
4.6665,20.4514,5
25.2814,7.5461,1
24.9111,24.8168,4
22.3213,9.0112,11
8.1257,15.3546,16
22.158,6.104,25
5.483,11.1111,30
21.7187,12.2818,27
14.223,18.0019,8
26.873,10.3613,6
4.6619,10.4648,30
27.4986,10.4234,6
22.4547,6.2811,25
27.2387,22.3006,24
26.7005,16.9232,18
26.2612,22.6134,24
21.4519,26.85,7
9.0089,10.3958,3
8.312,21.3484,21
15.6881,7.9187,13
5.4255,11.8103,30
21.9579,11.3549,27
25.4746,13.809,12
11.8563,25.9346,28
15.9388,15.1913,14
16.2723,9.1032,13
4.6274,28.9177,20
18.0847,25.8288,9
3.9811,10.7615,30
24.8191,6.1316,1
11.7344,14.1402,17
14.1195,25.7161,22
17.1187,10.4602,13
16.5621,9.5034,13
19.6832,19.0139,15
16.1297,8.9146,13
27.1812,16.3298,12
14.4806,27.5561,22
14.5289,8.7306,13
26.5372,23.3103,24
13.1742,26.9213,22
8.9491,9.7863,3
8.4086,15.7893,16
23.4,18.3929,26
25.953,26.1692,4
25.4194,26.6568,23
15.3822,21.7624,29
24.435,8.5811,11
16.1826,8.8962,13
12.3209,18.0111,8
25.4171,27.1099,23
6.2052,15.6674,31
24.665,23.6208,4
25.4447,24.0049,4
15.7525,9.738,13
25.3918,13.9976,12
18.3055,25.0169,9
14.5542,26.1278,22
5.6394,17.9766,31
13.1466,26.896,22
9.6023,9.0526,3
20.4077,27.678,7
11.1088,21.5784,10
23.2321,15.0257,26
6.2144,9.8277,30
18.0502,25.0261,9
6.2696,27.3215,20
20.9988,27.1329,7
15.0487,22.5398,29
25.4217,7.3138,1
5.7659,28.1978,20
17.7328,11.6562,2
14.9406,14.5013,14
12.0357,7.5116,19
22.2201,5.4071,25
3.7488,26.0611,20
24.0279,9.853,11
24.5891,27.4296,23
23.3632,10.0255,11
15.6421,21.5025,29
25.5367,27.8045,23
17.7328,11.21,2
10.819,23.8324,28
11.4906,21.7026,10
4.5653,10.566,30
25.4332,25.4953,4
14.6439,11.1433,13
27.0846,17.075,18
22.3397,16.0078,26
15.8008,21.5738,29
14.1885,27.6826,22
8.3925,21.2242,21
9.4528,24.5615,28
16.9669,8.519,13
16.4103,14.3909,14
11.0122,25.0905,28
20.6354,29.7871,7
4.5929,8.9054,30
23.1447,14.9705,26
18.6137,11.3802,2
10.9455,14.8854,17
14.7727,26.4866,22
12.1461,7.7554,19
26.9305,22.4064,24
9.6368,21.6888,21
25.4033,22.7284,24
10.4441,24.0785,28
6.2673,10.819,30
16.0745,18.1054,8
24.6075,24.6029,4
21.8475,6.7549,25
23.722,7.9049,11
7.3138,11.6608,3
7.5668,20.5986,21
27.3123,10.2532,6
9.6943,23.1999,21
7.8267,15.81,16
21.123,19.1059,15
22.9837,15.8974,26
9.7564,14.9153,16
25.7322,15.6881,12
4.1237,10.2187,30
21.5692,4.5561,25
26.1347,5.0161,1
12.7326,22.1971,10
23.0619,16.1826,26
12.6751,14.798,17
21.7808,27.8735,7
18.4527,11.2468,2
27.1375,10.9432,6
25.6701,27.126,23
9.1584,10.8535,3
5.6256,21.2702,5
16.845,10.6672,2
12.6245,19.3405,8
22.7514,11.2008,27
27.0202,20.6561,24
26.321,22.0292,24
11.8287,15.5363,17
13.9378,18.6275,8
27.1076,22.365,24
13.3375,19.4164,8
7.4035,20.1777,21
8.8456,10.3866,3
13.4686,26.9489,22
11.2836,13.8159,17
23.9037,7.9808,11
13.0454,19.0346,8
22.2569,5.9798,25
5.5612,27.6665,20
6.3064,16.8243,31
21.6865,12.2335,27
16.6265,15.0855,14
22.0568,5.782,25
15.2212,19.0461,8
22.2132,4.6412,25
16.2838,22.4271,29
4.1329,28.3266,20
7.8267,15.35,16
23.722,11.7367,27
8.5489,21.6405,21
18.7793,25.0997,9
17.5396,11.4791,2
13.2685,22.1925,10
9.002,11.1433,3
13.4548,26.758,22
24.7731,6.0925,1
25.5597,26.9328,23
26.7534,15.6398,12
4.563,10.7086,30
23.5955,5.3795,25
3.9719,19.8787,5
9.715,9.9151,3
27.1214,18.2595,18
14.9406,22.526,29
10.6971,21.5508,10
9.1515,15.5616,16
4.2042,20.9942,5
19.7867,20.5963,15
11.3526,23.5058,28
22.9814,6.8515,25
26.8891,21.9648,24
5.4462,29.2742,20
15.1476,26.3417,22
15.9756,10.1865,13
26.4199,24.7225,4
7.0355,19.6073,5
16.9163,11.4929,2
25.4286,28.0506,23
11.946,6.8607,19
23.4299,25.0652,4
4.8505,27.9793,20
21.5485,27.747,7
19.7821,20.2237,15
13.9792,17.4729,8
19.8833,18.8529,15
24.3545,24.4028,4
26.7626,9.6253,6
9.4413,23.055,21
27.4549,17.4959,18
4.3376,27.3077,20
25.9944,27.0202,23
25.7253,6.7296,1
16.4287,25.2883,9
26.0105,6.8377,1
16.1067,14.4208,14
17.7742,26.4429,9
21.7072,15.5754,26
24.412,27.4043,23
8.1993,9.7863,3
22.3903,11.2629,27
22.825,16.4954,26
13.8849,18.8621,8
8.8318,21.6129,21
25.3596,14.2069,12
13.9999,21.6474,29
14.5059,27.3077,22
11.9966,21.4105,10
8.795,15.1867,16
26.3877,9.6989,6
20.0811,19.2301,15
7.2264,28.4278,20
27.4296,9.7426,6
18.0709,24.9502,9
21.6083,7.2655,11
23.5725,9.2803,11
11.5849,9.7656,19
16.431,15.5317,14
25.7897,15.1453,12
22.3903,6.3869,25
25.0514,5.7475,1
6.1638,19.766,5
21.767,6.2696,25
22.3581,11.6424,27
21.5347,5.2714,25
22.5352,5.8878,25
22.7491,16.6909,26
23.2321,12.0426,27
5.1909,16.1458,31
11.9414,14.6255,17
27.1812,6.2972,1
24.6512,24.9433,4
27.2617,20.0374,24
8.8663,20.6929,21
21.1368,28.2576,7
12.7142,21.1782,10
17.6339,10.8144,2
24.2717,27.6274,23
22.2247,5.6302,25
17.2889,11.7873,2
25.5183,4.8229,1
13.349,18.2342,8
15.0648,18.6689,8
5.0115,10.3981,30
22.4202,29.104,7
18.4803,12.0955,2
11.5343,19.5636,10
12.9097,19.2071,8
8.4201,19.6993,21
5.5888,16.3114,31
27.4687,15.6329,18
21.7003,27.2571,7
26.4245,14.9176,12
16.2378,13.8435,14
26.2635,28.6946,23
21.3576,6.4306,25
10.7155,23.0527,28
22.4915,11.7137,27
14.1448,17.9214,8
10.5706,23.8761,28
14.5358,22.388,29
5.5704,19.4716,5
8.8157,16.1021,16
15.3868,26.2612,22
26.6246,18.0847,18
5.8993,27.2824,20
16.0515,14.3081,14
26.344,5.9522,1
23.0044,11.4331,27
25.9668,25.079,4
4.7309,26.7304,20
23.0573,28.5336,7
10.7523,25.4355,28
21.9188,9.7058,11
5.7337,20.502,5
12.8223,21.0218,10
24.8536,5.5152,1
12.0909,15.1476,17
11.1939,21.2656,10
10.6258,24.2096,28
25.2906,14.9567,12
4.9126,10.589,30
8.0268,20.3249,21
5.7406,15.9641,31
10.8075,7.3046,19
15.5938,8.5144,13
22.6318,10.7615,27
17.8432,25.9622,9
9.1147,21.5784,21
14.4921,21.5531,29
4.4756,20.2766,5
26.5648,21.1506,24
11.9966,7.7669,19
21.2679,19.1979,15
17.4913,10.428,2
5.138,27.678,20
11.67,8.5765,19
22.1603,16.9531,26
9.485,22.9354,28
27.7884,18.3492,18
7.8681,19.4348,21
11.5987,20.8263,10
6.2075,15.6697,31
15.1269,21.6566,29
8.8042,22.2707,21
6.0741,17.696,31
17.8708,25.2676,9
25.4999,5.6739,1
5.9453,16.7967,31
25.4976,25.1802,23
12.6866,22.0131,10
4.0616,9.9979,30
25.2538,5.5681,1
18.2963,25.3826,9
10.1244,25.0031,28
9.2021,11.0076,3
5.8947,16.2677,31
27.3192,22.4041,24
10.6741,8.4684,19
10.4004,9.9749,3
22.5812,5.0437,25
22.917,11.1272,27
8.7674,15.2534,16
5.3174,18.8092,5
20.6607,26.7902,7
25.6517,23.9451,4
26.7143,21.8613,24
15.6122,11.8816,13
11.3526,14.6301,17
5.9016,27.8045,20
23.1838,5.7314,1
25.1917,27.563,23
14.9613,21.2081,29
26.6522,14.2115,12
27.885,16.4747,18
23.9842,8.6984,11
7.7945,10.8995,3
18.1054,25.9783,9
5.0069,20.8263,5
26.0404,23.8761,4
25.1825,26.3578,23
21.8222,10.9639,27
22.0315,12.2726,27
26.6085,18.4205,18
27.0018,14.8417,12
7.5116,15.1522,16
26.5924,6.0925,1
21.7325,26.5901,7
21.9142,15.9963,26
6.1155,16.8772,31
24.6052,27.655,23
15.2557,21.2265,29
24.6696,8.2039,11
14.6738,27.7746,22
21.5761,7.8773,11
10.612,25.2032,28
10.9639,24.964,28
15.0901,21.3346,29
20.9275,26.0404,7
25.7736,27.4549,23
18.1606,12.5486,2
25.2377,9.7081,6
8.151,21.7072,21
11.5665,8.9905,19
24.3338,5.1679,1
8.5834,21.8636,21
6.6974,20.0121,5
5.9936,17.7029,31
8.0567,14.7428,16
27.2111,18.6896,18
15.4742,21.9694,29
5.8924,10.6465,30
26.1876,22.9998,24
9.2573,22.0246,21
11.9759,20.5894,10
10.5752,8.5903,19
19.8258,20.0972,15
24.0946,27.0938,23
18.3354,26.1554,9
25.1204,4.6504,1
12.0403,7.8911,19
15.2051,14.039,14
4.5676,19.9776,5
4.7999,28.368,20
22.3719,11.7413,27
5.3565,27.1145,20
9.2527,10.8558,3
14.3587,26.7994,22
5.184,20.5963,5
25.746,11.4331,6
24.8605,23.4437,4
5.5083,27.6642,20
5.5267,27.0777,20
5.9016,20.1225,5
20.7343,19.95,15
24.7708,6.7572,1
26.5441,14.4852,12
22.6525,28.1564,7
8.8318,20.3847,21
24.0601,27.1904,23
9.0733,8.9307,3
13.3881,26.1278,22
6.2604,26.6361,20
24.826,15.2971,12
21.2725,4.5607,25
6.3248,19.9684,5
15.7594,9.6828,13
5.0828,17.7834,31
4.862,17.1118,31
8.8134,21.1,21
12.0794,8.5328,19
23.8278,12.7579,27
14.9291,23.4138,29
25.4838,4.9333,1
7.8152,21.4979,21
4.908,29.2995,20
11.1134,21.4335,10
4.1904,21.2265,5
11.6562,14.9843,17
26.0473,13.2018,12
18.2365,11.7666,2
8.6294,23.0297,21
20.7044,27.4411,7
18.3607,26.3762,9
13.6273,18.4987,8
9.5471,15.0165,16
6.6767,15.7387,31
9.5333,21.3852,21
23.4483,12.1691,27
22.1695,5.3703,25
25.8058,17.2751,18
12.0771,13.7607,17
22.1603,28.483,7
5.8924,28.2116,20
11.5021,21.606,10
26.6154,11.6355,6
18.8759,25.3987,9
27.0225,22.4984,24
28.0805,10.5315,6
20.9873,19.5958,15
18.1445,26.0887,9
18.3837,24.6167,9
24.1498,8.7904,11
18.0801,26.0887,9
6.1132,16.1872,31
17.213,14.0137,14
13.9907,25.6471,22
14.2276,27.4802,22
10.4395,14.5565,17
9.4965,21.7003,21
24.2993,28.5497,23
14.177,21.3622,29
22.5559,16.73,26
21.4864,19.7039,15
19.7016,17.9766,15
7.9923,19.4601,21
24.6282,23.423,4
26.6936,8.9675,6
26.5648,15.603,12
25.6701,10.9225,6
23.2781,9.0227,11
14.016,10.1267,13
15.8169,21.7762,29
6.2673,18.7494,5
14.062,18.7701,8
22.6686,11.7321,27
16.0952,14.3633,14
27.5423,16.4609,18
5.4209,21.2518,5
16.0216,9.6667,13
19.536,20.0581,15
26.9443,10.865,6
16.5897,26.1462,9
7.4679,15.0625,16
23.2459,11.8011,27
5.5773,9.5034,30
6.0626,27.0731,20
8.8134,14.2644,16
4.3491,20.2697,5
21.4772,27.4848,7
25.953,8.2131,6
5.1219,18.4274,31
14.6002,21.8406,29
24.8007,4.4158,1
26.275,5.5888,1
5.5267,16.0883,31
8.45,20.9804,21
6.4398,27.1329,20
23.3218,8.9468,11
21.5416,16.1021,26
16.7415,11.8793,2
3.896,20.065,5
12.0081,16.1136,17
11.0099,24.4534,28
23.4851,8.3074,11
10.9938,8.7145,19
14.4116,9.485,13
18.5171,9.876,2
23.7933,8.2821,11
5.9798,9.3447,30
15.5892,10.2141,13
25.562,15.1476,12
8.1372,10.3015,3
15.2925,16.4195,14
28.7268,26.7212,23
16.1205,8.9905,13
5.0897,19.8902,5
4.8827,10.2486,30
23.7197,23.4483,4
5.8418,27.4595,20
23.262,24.7524,4
26.9213,14.5473,12
16.9738,9.439,13
22.3236,8.1556,11
5.8694,20.3709,5
11.8862,20.8746,10
25.0675,24.4925,4
22.7399,11.5044,27
23.9842,23.3839,4
17.512,10.9915,2
8.933,13.9286,16
27.103,21.3277,24
25.1135,22.2385,4
25.7897,17.7328,18
27.0478,10.2854,6
12.6268,19.7108,8
20.1202,19.0737,15
26.0772,24.9088,4
12.1553,14.4047,17
22.8572,7.9302,11
25.8058,10.635,6
21.0655,27.7194,7
24.8375,27.8896,23
18.1169,24.5063,9
14.637,19.6464,8
16.1297,22.1419,29
17.0773,26.3302,9
27.7447,16.8749,18
18.5378,11.6516,2
15.1844,9.7311,13
13.6825,26.7695,22
5.1334,20.7734,5
21.7555,15.4144,26
16.0032,8.6087,13
9.209,11.0467,3
13.9125,10.6741,13
12.36,20.5779,10
8.9813,9.7127,3
14.016,18.8667,8
26.919,16.27,18
14.8854,26.9443,22
11.0329,7.3391,19
13.0615,26.965,22
22.2569,5.8441,25
14.3173,23.2896,29
10.1221,15.1177,16
21.6221,12.1691,27
27.0961,17.3671,18
4.954,8.9307,30
7.0953,11.1433,3
22.9216,11.6309,27
26.482,9.6644,6
22.5007,8.2476,11
26.0312,10.06,6
12.1714,20.7826,10
24.8996,27.3928,23
18.1422,11.9966,2
6.9849,17.1785,31
14.1655,27.2617,22
8.6823,9.0986,3
5.4899,17.2774,31
15.3638,8.9238,13
14.5887,23.3172,29
12.6475,21.6497,10
29.2926,17.4614,18
11.6033,19.4785,10
21.7325,27.8804,7
18.2894,26.7166,9
27.3698,10.2279,6
26.068,14.4392,12
15.2971,14.6715,14
8.9905,10.8006,3
12.8844,22.0706,10
23.5518,12.2174,27
26.712,24.5224,4
7.3414,16.8197,31
11.003,24.2372,28
19.9523,18.8046,15
8.9951,9.5678,3
26.367,10.3268,6
8.772,20.778,21
11.6907,14.4438,17
9.3999,23.6622,28
23.0826,12.4566,27
13.924,25.2906,22
9.0411,8.5466,19
24.8766,4.4664,1
18.0042,25.8012,9
25.1089,16.9025,12
18.0824,27.6665,9
14.0919,26.5947,22
19.6993,27.8827,7
22.2224,4.6734,25
17.5557,11.2123,2
5.0506,27.5699,20
20.3525,21.1966,15
12.0472,20.6377,10
25.7092,15.0119,12
21.7072,15.4374,26
21.3047,25.7023,7
20.2375,19.3405,15
