;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
2154;9.8;0.93;0.45;8.6;0.052;34.0;187.0;0.9994;3.12;0.59;10.2;4
4621;7.5;0.305;0.38;1.4;0.047;30.0;95.0;0.99158;3.22;0.52;11.5;7
501;6.8;0.19;0.58;14.2;0.038;51.0;164.0;0.9975;3.12;0.48;9.6;6
2850;6.7;0.24;0.29;14.9;0.053;55.0;136.0;0.99839;3.03;0.52;9.0;5
4852;6.2;0.23;0.38;1.6;0.044;12.0;113.0;0.99176;3.3;0.73;11.4;5
3044;6.0;0.27;0.3;14.7;0.044;15.0;144.0;0.99666;3.12;0.53;10.3;6
397;6.3;0.2;0.4;1.5;0.037;35.0;107.0;0.9917;3.46;0.5;11.4;6
1342;8.4;0.58;0.27;12.15;0.033;37.0;116.0;0.9959;2.99;0.39;10.8;6
1749;6.1;0.17;0.27;1.5;0.056;45.0;135.0;0.9924;3.2;0.43;10.2;6
4497;6.3;0.29;0.3;8.1;0.212;60.0;150.0;0.9958;3.1;0.4;9.3;5
4001;6.4;0.25;0.57;1.0;0.062;21.0;122.0;0.99238;3.0;0.4;9.5;5
2470;7.6;0.25;0.34;1.3;0.056;34.0;176.0;0.99434;3.1;0.51;9.5;5
1998;8.4;0.2;0.38;11.8;0.055;51.0;170.0;1.0004;3.34;0.82;8.9;6
4810;5.4;0.375;0.4;3.3;0.054;29.0;147.0;0.99482;3.42;0.52;9.1;5
289;7.2;0.23;0.39;14.2;0.058;49.0;192.0;0.9979;2.98;0.48;9.0;7
1311;6.3;0.23;0.22;3.75;0.039;37.0;116.0;0.9927;3.23;0.5;10.7;6
1449;6.9;0.19;0.49;6.6;0.036;49.0;172.0;0.9932;3.2;0.27;11.5;6
146;5.6;0.16;0.27;1.4;0.044;53.0;168.0;0.9918;3.28;0.37;10.1;6
1175;6.4;0.25;0.41;8.6;0.042;57.0;173.0;0.9965;3.0;0.44;9.1;5
3095;9.7;0.24;0.49;4.9;0.032;3.0;18.0;0.99368;2.85;0.54;10.0;6
3237;6.4;0.23;0.35;4.6;0.039;43.0;147.0;0.99216;3.18;0.4;11.0;7
3342;6.5;0.26;0.32;6.65;0.059;34.0;104.0;0.99254;3.18;0.42;11.1;5
3193;5.5;0.12;0.33;1.0;0.038;23.0;131.0;0.99164;3.25;0.45;9.8;5
4133;5.7;0.25;0.27;11.5;0.04;24.0;120.0;0.99411;3.33;0.31;10.8;6
463;6.8;0.32;0.21;2.2;0.044;15.0;68.0;0.9932;3.17;0.39;9.4;6
4526;5.8;0.27;0.22;12.7;0.058;42.0;206.0;0.9946;3.32;0.38;12.3;6
3976;7.0;0.32;0.29;7.6;0.025;35.0;124.0;0.99162;3.15;0.65;12.8;7
2467;7.0;0.28;0.32;1.7;0.038;27.0;128.0;0.99375;3.2;0.62;10.2;6
1858;8.9;0.33;0.34;1.4;0.056;14.0;171.0;0.9946;3.13;0.47;9.7;5
4162;7.4;0.16;0.3;13.7;0.056;33.0;168.0;0.99825;2.9;0.44;8.7;7
1435;6.9;0.23;0.24;14.2;0.053;19.0;94.0;0.9982;3.17;0.5;9.6;5
4563;5.6;0.26;0.27;10.6;0.03;27.0;119.0;0.9947;3.4;0.34;10.7;7
767;6.8;0.2;0.36;1.6;0.028;7.0;46.0;0.99175;3.21;0.6;10.9;6
2018;7.0;0.2;0.34;2.1;0.049;12.0;136.0;0.9922;3.25;0.46;11.6;7
281;6.1;0.31;0.58;5.0;0.039;36.0;114.0;0.9909;3.3;0.6;12.3;8
1712;7.9;0.18;0.37;3.0;0.061;25.0;178.0;0.995;3.22;0.51;10.0;6
1358;6.8;0.35;0.32;2.4;0.048;35.0;103.0;0.9911;3.28;0.46;12.0;8
3211;8.2;0.3;0.44;12.4;0.043;52.0;154.0;0.99452;3.04;0.33;12.0;6
3882;7.1;0.2;0.37;1.5;0.049;28.0;129.0;0.99226;3.15;0.52;10.8;5
3442;5.9;0.27;0.27;5.0;0.035;14.0;97.0;0.99058;3.1;0.33;11.8;7
810;6.0;0.28;0.49;6.8;0.048;61.0;222.0;0.9953;3.19;0.47;9.3;5
4010;7.2;0.21;0.29;3.1;0.044;39.0;122.0;0.99143;3.0;0.6;11.3;6
3646;7.2;0.33;0.22;4.5;0.031;10.0;73.0;0.99076;2.97;0.52;12.2;7
2694;6.2;0.28;0.27;10.3;0.03;26.0;108.0;0.99388;3.2;0.36;10.7;6
2103;6.0;0.27;0.15;1.5;0.056;35.0;128.0;0.9936;3.12;0.45;8.8;5
1266;7.5;0.28;0.34;4.2;0.028;36.0;116.0;0.991;2.99;0.41;12.3;8
4238;6.4;0.29;0.18;15.0;0.04;21.0;116.0;0.99736;3.14;0.5;9.2;5
708;7.7;0.2;0.44;13.9;0.05;44.0;130.0;0.99855;3.11;0.48;10.0;6
388;6.7;0.21;0.32;5.4;0.047;29.0;140.0;0.995;3.39;0.46;9.7;6
2456;8.1;0.33;0.36;7.4;0.037;36.0;156.0;0.99592;3.19;0.54;10.6;6
539;6.8;0.25;0.24;4.55;0.053;41.0;211.0;0.9955;3.37;0.67;9.5;6
854;6.9;0.18;0.36;1.3;0.036;40.0;117.0;0.9934;3.27;0.95;9.5;7
433;7.2;0.55;0.09;1.5;0.108;16.0;151.0;0.9938;3.07;0.57;9.2;4
3836;8.0;0.27;0.33;1.2;0.05;41.0;103.0;0.99002;3.0;0.45;12.4;6
2322;6.1;0.41;0.04;1.3;0.036;23.0;121.0;0.99228;3.24;0.61;9.9;6
4053;7.4;0.16;0.27;15.5;0.05;25.0;135.0;0.9984;2.9;0.43;8.7;7
4419;6.6;0.22;0.23;17.3;0.047;37.0;118.0;0.99906;3.08;0.46;8.8;6
1982;7.6;0.2;0.3;14.2;0.056;53.0;212.5;0.999;3.14;0.46;8.9;8
2700;6.5;0.46;0.31;5.0;0.027;15.0;72.0;0.99165;3.26;0.6;11.5;7
817;6.6;0.56;0.22;8.9;0.034;27.0;133.0;0.99675;3.2;0.51;9.1;5
913;5.8;0.29;0.05;0.8;0.038;11.0;30.0;0.9924;3.36;0.35;9.2;5
661;6.8;0.25;0.34;14.0;0.032;47.0;133.0;0.9952;3.37;0.5;12.2;7
3536;7.2;0.24;0.28;1.9;0.032;30.0;92.0;0.9914;3.1;0.39;10.9;6
495;5.7;0.44;0.13;7.0;0.025;28.0;173.0;0.9913;3.33;0.48;12.5;6
3067;7.3;0.28;0.42;1.2;0.033;29.0;142.0;0.99205;3.17;0.43;10.7;4
484;6.2;0.37;0.3;6.6;0.346;79.0;200.0;0.9954;3.29;0.58;9.6;5
86;7.2;0.39;0.63;11.0;0.044;55.0;156.0;0.9974;3.09;0.44;8.7;6
2737;7.4;0.2;0.28;9.1;0.047;29.0;95.0;0.99532;3.16;0.47;9.8;7
4165;6.6;0.22;0.35;1.4;0.05;23.0;83.0;0.99019;3.17;0.48;12.0;7
1088;7.4;0.2;0.37;16.95;0.048;43.0;190.0;0.9995;3.03;0.42;9.2;6
3853;6.6;0.32;0.26;4.6;0.031;26.0;120.0;0.99198;3.4;0.73;12.5;7
1968;7.6;0.2;0.31;1.4;0.047;41.0;142.0;0.9934;3.43;0.53;10.1;6
528;5.2;0.36;0.02;1.6;0.031;24.0;104.0;0.9896;3.44;0.35;12.2;6
4043;7.4;0.16;0.27;15.5;0.05;25.0;135.0;0.9984;2.9;0.43;8.7;7
2816;7.2;0.17;0.41;1.6;0.052;24.0;126.0;0.99228;3.19;0.49;10.8;5
2370;6.3;0.1;0.24;6.0;0.039;25.0;107.0;0.99511;3.59;0.49;10.5;7
2752;7.1;0.43;0.3;6.6;0.025;15.0;138.0;0.99126;3.18;0.46;12.6;6
4864;6.0;0.41;0.23;1.1;0.066;22.0;148.0;0.99266;3.3;0.47;9.63333333333;5
4830;5.8;0.29;0.27;1.6;0.062;17.0;140.0;0.99138;3.23;0.35;11.1;6
4736;6.0;0.16;0.36;1.6;0.042;13.0;61.0;0.99143;3.22;0.54;10.8;6
3600;6.8;0.12;0.3;12.9;0.049;32.0;88.0;0.99654;3.2;0.35;9.9;6
3371;6.2;0.3;0.21;1.1;0.032;31.0;111.0;0.9889;2.97;0.42;12.2;6
3046;6.9;0.24;0.37;6.1;0.027;38.0;112.0;0.99086;3.19;0.34;12.4;6
904;6.9;0.21;0.28;2.4;0.056;49.0;159.0;0.9944;3.02;0.47;8.8;8
3048;7.1;0.17;0.43;1.3;0.023;33.0;132.0;0.99067;3.11;0.56;11.7;6
3001;6.6;0.2;0.27;10.9;0.038;29.0;130.0;0.99496;3.11;0.44;10.5;7
2280;6.4;0.16;0.25;1.3;0.047;20.0;77.0;0.9933;3.61;0.54;10.2;6
2081;7.5;0.42;0.14;10.7;0.046;18.0;95.0;0.9959;3.22;0.33;10.7;5
4377;6.5;0.13;0.27;2.6;0.035;32.0;76.0;0.9914;3.21;0.76;11.3333333333;6
2664;6.2;0.21;0.34;6.6;0.03;36.0;91.0;0.9914;3.32;0.45;12.5;7
2780;6.2;0.235;0.34;1.9;0.036;4.0;117.0;0.99032;3.4;0.44;12.2;5
4845;6.6;0.38;0.29;2.4;0.136;15.0;93.0;0.99336;3.18;0.6;9.5;5
2933;6.9;0.22;0.31;6.3;0.029;41.0;131.0;0.99326;3.08;0.49;10.8;6
4473;7.1;0.36;0.2;1.6;0.271;24.0;140.0;0.99356;3.11;0.63;9.8;5
3271;6.5;0.32;0.34;5.7;0.044;27.0;91.0;0.99184;3.28;0.6;12.0;7
221;7.2;0.685;0.21;9.5;0.07;33.0;172.0;0.9971;3.0;0.55;9.1;6
2478;6.3;0.27;0.37;7.9;0.047;58.0;215.0;0.99542;3.19;0.48;9.5;6
172;7.6;0.48;0.37;0.8;0.037;4.0;100.0;0.9902;3.03;0.39;11.4;4
2581;6.8;0.18;0.3;12.8;0.062;19.0;171.0;0.99808;3.0;0.52;9.0;7
970;5.1;0.42;0.01;1.5;0.017;25.0;102.0;0.9894;3.38;0.36;12.3;7
3386;6.1;0.28;0.27;4.7;0.03;56.0;140.0;0.99042;3.16;0.42;12.5;8
1993;7.4;0.3;0.22;5.25;0.053;33.0;180.0;0.9926;3.13;0.45;11.6;6
4561;6.0;0.26;0.26;2.2;0.035;10.0;72.0;0.989465;3.11;0.48;12.15;6
3915;4.7;0.455;0.18;1.9;0.036;33.0;106.0;0.98746;3.21;0.83;14.0;7
1874;7.9;0.29;0.31;7.35;0.034;37.0;154.0;0.9938;3.06;0.31;10.8;5
4548;6.4;0.46;0.22;14.7;0.047;51.0;183.0;0.998275;3.39;0.6;10.5;5
2257;7.2;0.39;0.54;1.4;0.157;34.0;132.0;0.99449;3.11;0.53;9.0;6
3789;6.6;0.26;0.52;8.2;0.047;52.0;191.0;0.99541;3.16;0.47;9.5;6
3503;6.9;0.33;0.31;4.2;0.04;21.0;93.0;0.9896;3.18;0.48;13.4;7
2684;6.6;0.21;0.29;1.8;0.026;35.0;128.0;0.99183;3.37;0.48;11.2;6
69;7.4;0.24;0.29;10.1;0.05;21.0;105.0;0.9962;3.13;0.35;9.5;5
1130;6.9;0.2;0.28;1.2;0.048;36.0;159.0;0.9936;3.19;0.43;9.1;6
3103;7.0;0.25;0.45;2.3;0.045;40.0;118.0;0.99064;3.16;0.48;11.9;7
4358;6.5;0.23;0.2;7.5;0.05;44.0;179.0;0.99504;3.18;0.48;9.53333333333;5
2812;6.7;0.16;0.34;1.6;0.026;27.0;109.0;0.9934;3.34;0.58;10.1;6
2480;6.8;0.32;0.3;1.0;0.049;22.0;113.0;0.99289;3.24;0.61;10.2;5
3343;6.9;0.36;0.28;13.55;0.048;51.0;189.0;0.99782;3.0;0.6;9.5;7
4778;5.8;0.315;0.19;19.4;0.031;28.0;106.0;0.99704;2.97;0.4;10.55;6
1383;7.1;0.36;0.56;1.3;0.046;25.0;102.0;0.9923;3.24;0.33;10.5;6
778;6.9;0.22;0.37;15.0;0.053;59.0;178.0;0.9992;3.37;0.82;9.5;7
4580;5.7;0.2;0.24;13.8;0.047;44.0;112.0;0.99837;2.97;0.66;8.8;6
4478;6.4;0.32;0.26;7.9;0.05;53.0;180.0;0.99514;3.14;0.5;9.6;5
4124;6.0;0.13;0.36;1.6;0.052;23.0;72.0;0.98974;3.1;0.5;11.5;7
541;7.2;0.46;0.65;10.4;0.05;76.0;192.0;0.9976;3.16;0.42;8.7;5
3624;6.6;0.36;0.28;6.1;0.029;12.0;93.0;0.99054;3.19;0.27;12.8;7
560;6.7;0.21;0.42;9.1;0.049;31.0;150.0;0.9953;3.12;0.74;9.9;7
33;6.2;0.12;0.34;1.5;0.045;43.0;117.0;0.9939;3.42;0.51;9.0;6
1908;7.2;0.36;0.36;5.7;0.038;26.0;98.0;0.9914;2.93;0.59;12.5;7
1505;9.2;0.18;0.49;1.5;0.041;39.0;130.0;0.9945;3.04;0.49;9.8;7
4027;6.4;0.26;0.26;1.1;0.052;22.0;176.0;0.99304;3.09;0.54;9.3;5
3259;7.4;0.19;0.31;14.5;0.045;39.0;193.0;0.9986;3.1;0.5;9.2;6
2748;5.8;0.17;0.34;1.8;0.045;96.0;170.0;0.99035;3.38;0.9;11.8;8
4105;6.9;0.3;0.45;1.4;0.039;36.0;122.0;0.99059;3.07;0.47;11.1;7
922;7.7;0.32;0.62;10.6;0.036;56.0;153.0;0.9978;3.13;0.44;8.9;6
473;7.0;0.17;0.31;4.8;0.034;34.0;132.0;0.9944;3.36;0.48;9.6;7
3199;6.8;0.21;0.4;6.3;0.032;40.0;121.0;0.99214;3.18;0.53;12.0;7
1794;6.6;0.37;0.24;2.0;0.064;23.0;120.0;0.9946;3.32;0.54;9.4;5
3987;7.3;0.23;0.41;14.6;0.048;73.0;223.0;0.99863;3.16;0.71;9.4;6
2218;7.7;0.28;0.29;6.9;0.041;29.0;163.0;0.9952;3.44;0.6;10.5;6
4743;6.0;0.14;0.37;1.2;0.032;63.0;148.0;0.99185;3.32;0.44;11.2;5
2745;6.7;0.44;0.22;4.3;0.032;19.0;99.0;0.99015;3.26;0.53;12.8;7
2879;5.7;0.37;0.3;1.1;0.029;24.0;88.0;0.98883;3.18;0.39;11.7;6
416;7.4;0.21;0.27;1.2;0.041;27.0;99.0;0.9927;3.19;0.33;9.8;6
2314;7.0;0.19;0.33;6.3;0.032;42.0;127.0;0.99182;3.31;0.38;12.2;6
3737;7.1;0.21;0.72;1.6;0.167;65.0;120.0;0.99324;2.97;0.51;9.2;5
4160;7.4;0.16;0.3;13.7;0.056;33.0;168.0;0.99825;2.9;0.44;8.7;7
32;7.4;0.25;0.36;2.05;0.05;31.0;100.0;0.992;3.19;0.44;10.8;6
2321;4.6;0.445;0.0;1.4;0.053;11.0;178.0;0.99426;3.79;0.55;10.2;5
729;6.0;0.33;0.27;0.8;0.185;12.0;188.0;0.9924;3.12;0.62;9.4;5
583;7.4;0.24;0.22;10.7;0.042;26.0;81.0;0.9954;2.86;0.36;9.7;6
3846;6.7;0.24;0.32;9.0;0.023;20.0;109.0;0.99262;3.34;0.35;12.6;6
1980;7.6;0.2;0.3;14.2;0.056;53.0;212.5;0.999;3.14;0.46;8.9;8
740;6.9;0.39;0.4;4.6;0.022;5.0;19.0;0.9915;3.31;0.37;12.6;3
2907;5.7;0.21;0.25;1.1;0.035;26.0;81.0;0.9902;3.31;0.52;11.4;6
419;7.4;0.31;0.28;1.6;0.05;33.0;137.0;0.9929;3.31;0.56;10.5;6
4495;6.8;0.23;0.39;16.1;0.053;71.0;194.0;0.9988;3.18;0.64;10.2;6
1544;8.9;0.13;0.49;1.0;0.028;6.0;24.0;0.9926;2.91;0.32;9.9;5
2596;7.8;0.28;0.31;2.1;0.046;28.0;208.0;0.99434;3.23;0.64;9.8;5
3457;6.1;0.105;0.31;1.3;0.037;55.0;145.0;0.9912;3.41;0.41;11.1;7
3663;6.5;0.26;0.31;1.3;0.034;59.0;145.0;0.98944;3.16;0.54;12.4;6
4289;6.6;0.26;0.27;11.8;0.048;28.0;112.0;0.99606;2.87;0.49;9.7;6
4508;5.8;0.26;0.3;2.6;0.034;75.0;129.0;0.9902;3.2;0.38;11.5;4
770;6.8;0.12;0.31;5.2;0.045;29.0;120.0;0.9942;3.41;0.46;9.8;7
3294;7.3;0.25;0.28;1.5;0.043;19.0;113.0;0.99338;3.38;0.56;10.1;6
4812;5.1;0.26;0.33;1.1;0.027;46.0;113.0;0.98946;3.35;0.43;11.4;7
312;7.8;0.25;0.41;3.7;0.042;37.0;149.0;0.9954;3.36;0.45;10.0;6
879;6.9;0.12;0.36;2.2;0.037;18.0;111.0;0.9919;3.41;0.82;11.9;8
4351;6.4;0.31;0.28;2.5;0.039;34.0;137.0;0.98946;3.22;0.38;12.7;6
1086;5.2;0.24;0.45;3.8;0.027;21.0;128.0;0.992;3.55;0.49;11.2;8
2787;6.4;0.24;0.25;20.2;0.083;35.0;157.0;0.99976;3.17;0.5;9.1;5
1678;6.2;0.3;0.2;6.6;0.045;42.0;170.0;0.9944;3.36;0.45;10.4;6
859;6.6;0.3;0.3;4.8;0.17;60.0;166.0;0.9946;3.18;0.47;9.4;5
4870;6.1;0.32;0.28;6.6;0.021;29.0;132.0;0.99188;3.15;0.36;11.45;7
4874;5.6;0.2;0.36;2.5;0.048;16.0;125.0;0.99282;3.49;0.49;10.0;6
1492;8.0;0.3;0.49;9.4;0.046;47.0;188.0;0.9964;3.14;0.48;10.0;5
4242;5.9;0.22;0.29;4.2;0.037;69.0;144.0;0.99214;3.13;0.74;10.8;7
575;8.2;0.22;0.3;1.8;0.047;47.0;185.0;0.9933;3.13;0.5;10.2;6
4807;6.0;0.17;0.3;7.3;0.039;39.0;104.0;0.99252;2.91;0.57;11.0;6
935;6.1;0.27;0.44;6.7;0.041;61.0;230.0;0.99505;3.12;0.4;8.9;5
2477;6.1;0.27;0.31;1.5;0.035;17.0;83.0;0.99076;3.32;0.44;11.1;7
1356;7.3;0.22;0.41;15.4;0.05;55.0;191.0;1.0;3.32;0.59;8.9;6
2501;6.4;0.31;0.4;6.4;0.039;39.0;191.0;0.99513;3.14;0.52;9.8;5
3810;6.8;0.26;0.34;15.1;0.06;42.0;162.0;0.99705;3.24;0.52;10.5;3
1263;9.6;0.29;0.46;1.45;0.039;77.5;223.0;0.9944;2.92;0.46;9.5;6
1119;6.4;0.5;0.16;12.9;0.042;26.0;138.0;0.9974;3.28;0.33;9.0;5
2585;6.8;0.18;0.3;12.8;0.062;19.0;171.0;0.99808;3.0;0.52;9.0;7
3354;5.9;0.2;0.28;12.8;0.038;29.0;132.0;0.99426;3.31;0.57;11.8;7
320;6.0;0.1;0.24;1.1;0.041;15.0;65.0;0.9927;3.61;0.61;10.3;7
1813;7.2;0.15;0.38;1.2;0.038;18.0;110.0;0.9917;3.19;0.43;11.1;6
3766;6.9;0.4;0.17;12.9;0.033;59.0;186.0;0.99754;3.08;0.49;9.4;5
3801;8.3;0.18;0.3;1.1;0.033;20.0;57.0;0.99109;3.02;0.51;11.0;6
3509;6.4;0.26;0.25;10.7;0.046;66.0;179.0;0.99606;3.17;0.55;9.9;6
1833;7.4;0.49;0.24;15.1;0.03;34.0;153.0;0.9953;3.13;0.51;12.0;7
3278;6.6;0.38;0.36;9.2;0.061;42.0;214.0;0.9976;3.31;0.56;9.4;5
3073;6.7;0.24;0.41;2.9;0.039;48.0;122.0;0.99052;3.25;0.43;12.0;5
3106;7.6;0.27;0.52;3.2;0.043;28.0;152.0;0.99129;3.02;0.53;11.4;6
2064;6.6;0.22;0.28;4.9;0.042;51.0;180.0;0.9952;3.3;0.75;9.5;6
4073;6.5;0.36;0.16;1.3;0.054;11.0;107.0;0.99398;3.19;0.39;8.5;5
1021;8.6;0.2;0.42;1.5;0.041;35.0;125.0;0.9925;3.11;0.49;11.4;7
3236;6.9;0.22;0.39;6.0;0.035;44.0;141.0;0.99123;3.11;0.33;12.5;6
165;7.0;0.23;0.36;13.0;0.051;72.0;177.0;0.9972;3.16;0.49;9.8;5
1390;5.9;0.19;0.26;7.4;0.034;33.0;123.0;0.995;3.49;0.42;10.1;6
1233;7.7;0.39;0.3;5.2;0.037;29.0;131.0;0.9943;3.38;0.44;11.0;6
3579;7.4;0.25;0.28;7.25;0.028;14.0;78.0;0.99238;2.94;0.37;11.5;7
663;7.1;0.28;0.26;1.9;0.049;12.0;86.0;0.9934;3.15;0.38;9.4;5
3751;5.5;0.17;0.23;2.9;0.039;10.0;108.0;0.99243;3.28;0.5;10.0;5
2535;9.0;0.26;0.34;6.7;0.029;21.0;162.0;0.99497;3.08;0.5;10.6;6
4524;6.6;0.16;0.25;9.8;0.049;59.5;137.0;0.995;3.16;0.38;10.0;6
1548;7.1;0.36;0.24;1.8;0.025;32.0;102.0;0.9903;3.34;0.59;12.8;6
3247;7.7;0.27;0.49;3.8;0.037;46.0;139.0;0.99116;3.04;0.38;11.6;6
1760;6.4;0.28;0.19;5.4;0.042;67.0;181.0;0.99435;3.31;0.35;10.2;6
672;7.1;0.32;0.34;14.5;0.039;46.0;150.0;0.995;3.38;0.5;12.5;8
1742;6.3;0.25;0.23;14.9;0.039;47.0;142.0;0.99705;3.14;0.35;9.7;6
3930;6.1;0.28;0.26;1.5;0.03;25.0;101.0;0.98894;3.03;0.41;12.1;6
783;8.1;0.17;0.44;14.1;0.053;43.0;145.0;1.0006;3.28;0.75;8.8;8
648;6.0;0.32;0.12;5.9;0.041;34.0;190.0;0.9944;3.16;0.72;10.0;5
4204;6.9;0.26;0.38;10.5;0.044;33.0;139.0;0.99517;3.06;0.5;10.3;6
3677;6.9;0.58;0.58;8.2;0.032;29.0;169.0;0.99275;3.28;0.44;12.2;6
3084;6.6;0.17;0.35;2.6;0.03;33.0;78.0;0.99146;3.22;0.72;11.3;6
3496;6.0;0.24;0.28;3.95;0.038;61.0;134.0;0.99146;3.3;0.54;11.3;7
1293;6.9;0.39;0.22;4.3;0.03;10.0;102.0;0.993;3.0;0.87;11.6;4
2665;8.3;0.4;0.41;8.2;0.05;15.0;122.0;0.9979;3.39;0.49;9.3;5
377;7.3;0.2;0.44;1.4;0.045;21.0;98.0;0.9924;3.15;0.46;10.0;7
3339;7.6;0.17;0.27;4.6;0.05;23.0;98.0;0.99422;3.08;0.47;9.5;6
1766;6.6;0.32;0.26;7.7;0.054;56.0;209.0;0.9961;3.17;0.45;8.8;5
3971;6.4;0.17;0.3;2.8;0.034;33.0;125.0;0.99152;3.03;0.49;10.4;6
2476;6.8;0.29;0.49;1.4;0.142;52.0;148.0;0.9937;3.08;0.49;9.0;6
1427;7.4;0.25;0.49;1.1;0.042;35.0;156.0;0.9917;3.13;0.55;11.3;5
4640;6.0;0.24;0.41;1.3;0.036;42.0;118.0;0.99018;3.04;0.64;11.75;6
4697;6.7;0.35;0.32;9.0;0.032;29.0;113.0;0.99188;3.13;0.65;12.9;7
3415;6.1;0.3;0.3;2.1;0.031;50.0;163.0;0.9895;3.39;0.43;12.7;7
4318;6.3;0.41;0.22;7.3;0.035;23.0;117.0;0.99172;3.2;0.39;11.94;7
558;5.9;0.21;0.24;12.1;0.044;53.0;165.0;0.9969;3.25;0.39;9.5;5
4760;6.6;0.17;0.26;7.4;0.052;45.0;128.0;0.99388;3.16;0.37;10.0;6
1878;8.0;0.25;0.26;14.0;0.043;41.0;248.0;0.9986;3.03;0.57;8.7;6
399;6.4;0.19;0.42;2.9;0.032;32.0;83.0;0.9908;3.3;0.41;11.7;6
1180;8.2;0.61;0.45;5.4;0.03;15.0;118.0;0.9954;3.14;0.34;9.6;5
1237;7.3;0.24;0.39;3.6;0.024;35.0;116.0;0.9928;3.17;0.51;10.9;5
1207;6.4;0.3;0.38;7.8;0.046;35.0;192.0;0.9955;3.1;0.37;9.0;5
